Year,World,Northern Hemisphere,Southern Hemisphere
2015,399.95,401.68,398.22
2016,403.12,405.11,401.12
2017,405.79,407.85,403.74
2018,408.76,410.85,406.67
2019,411.79,413.92,409.66
2020,414.89,417.06,412.72
2021,418.06,420.29,415.84
2022,421.33,423.62,419.05
2023,424.72,427.07,422.37
2024,428.22,430.63,425.81
2025,431.83,434.3,429.36
2026,435.55,438.08,433.02
2027,439.38,441.97,436.79
2028,443.31,445.97,440.66
2029,447.36,450.08,444.65
2030,451.51,454.29,448.74
2031,455.78,458.63,452.92
2032,460.16,463.1,457.23
2033,464.68,467.7,461.67
2034,469.33,472.43,466.23
2035,474.11,477.29,470.94
2036,479.02,482.28,475.77
2037,484.07,487.41,480.73
2038,489.25,492.67,485.83
2039,494.57,498.06,491.07
2040,500.02,503.6,496.44
2041,505.61,509.27,501.94
2042,511.34,515.09,507.59
2043,517.23,521.07,513.39
2044,523.27,527.19,519.34
2045,529.46,533.47,525.45
2046,535.81,539.91,531.71
2047,542.31,546.5,538.13
2048,548.98,553.25,544.7
2049,555.8,560.16,551.44
2050,562.78,567.24,558.33
2051,569.93,574.48,565.38
2052,577.26,581.92,572.6
2053,584.78,589.55,580.02
2054,592.51,597.38,587.64
2055,600.43,605.4,595.46
2056,608.55,613.63,603.47
2057,616.87,622.05,611.69
2058,625.39,630.68,620.1
2059,634.11,639.51,628.72
2060,643.04,648.54,637.55
2061,652.17,657.76,646.58
2062,661.51,667.19,655.82
2063,671.04,676.82,665.27
2064,680.79,686.66,674.92
2065,690.74,696.71,684.77
2066,700.9,706.96,694.84
2067,711.27,717.42,705.11
2068,721.85,728.1,715.6
2069,732.65,738.99,726.3
2070,743.66,750.1,737.23
2071,754.89,761.4,748.38
2072,766.32,772.9,759.74
2073,777.93,784.58,771.28
2074,789.72,796.44,782.99
2075,801.69,808.49,794.89
2076,813.85,820.72,806.98
2077,826.19,833.14,819.25
2078,838.73,845.74,831.71
2079,851.45,858.54,844.37
2080,864.37,871.52,857.22
2081,877.48,884.65,870.31
2082,890.71,897.88,883.54
2083,903.98,911.16,896.8
2084,917.3,924.49,910.11
2085,930.67,937.86,923.48
2086,944.09,951.29,936.89
2087,957.57,964.77,950.36
2088,971.1,978.31,963.88
2089,984.68,991.9,977.46
2090,998.32,1005.55,991.09
2091,1012.02,1019.23,1004.81
2092,1025.74,1032.93,1018.55
2093,1039.45,1046.62,1032.27
2094,1053.15,1060.31,1045.99
2095,1066.85,1073.99,1059.71
2096,1080.53,1087.65,1073.41
2097,1094.21,1101.31,1087.11
2098,1107.89,1114.97,1100.81
2099,1121.55,1128.62,1114.48
2100,1135.21,1142.25,1128.16
2101,1148.86,1155.86,1141.86
2102,1162.47,1169.42,1155.52
2103,1176.03,1182.94,1169.12
2104,1189.53,1196.39,1182.67
2105,1202.98,1209.79,1196.17
2106,1216.37,1223.14,1209.6
2107,1229.7,1236.42,1222.98
2108,1242.97,1249.64,1236.3
2109,1256.19,1262.82,1249.56
2110,1269.35,1275.93,1262.77
2111,1282.45,1288.98,1275.92
2112,1295.49,1301.97,1289.01
2113,1308.47,1314.91,1302.03
2114,1321.39,1327.78,1315
2115,1334.25,1340.59,1327.91
2116,1347.05,1353.35,1340.75
2117,1359.78,1366.03,1353.53
2118,1372.44,1378.64,1366.24
2119,1385.04,1391.2,1378.88
2120,1397.57,1403.68,1391.46
