Year,World,Northern Hemisphere,Southern Hemisphere
2015,399.95,401.68,398.22
2016,403.12,405.11,401.12
2017,405.74,407.77,403.72
2018,408.56,410.59,406.52
2019,411.34,413.39,409.29
2020,414.1,416.18,412.02
2021,416.84,418.96,414.73
2022,419.61,421.76,417.46
2023,422.44,424.63,420.26
2024,425.33,427.56,423.11
2025,428.29,430.55,426.03
2026,431.31,433.6,429.01
2027,434.39,436.72,432.06
2028,437.53,439.89,435.16
2029,440.73,443.13,438.33
2030,444,446.43,441.56
2031,447.32,449.78,444.87
2032,450.7,453.16,448.23
2033,454.09,456.57,451.61
2034,457.52,460.01,455.03
2035,460.97,463.48,458.47
2036,464.46,466.98,461.94
2037,467.97,470.5,465.44
2038,471.52,474.07,468.98
2039,475.1,477.66,472.54
2040,478.72,481.29,476.15
2041,482.37,484.94,479.79
2042,486.03,488.61,483.46
2043,489.7,492.28,487.13
2044,493.38,495.95,490.8
2045,497.06,499.64,494.48
2046,500.75,503.33,498.17
2047,504.44,507.02,501.86
2048,508.15,510.73,505.57
2049,511.87,514.45,509.28
2050,515.59,518.18,513.01
2051,519.33,521.91,516.75
2052,523.07,525.65,520.5
2053,526.81,529.38,524.25
2054,530.55,533.11,527.99
2055,534.28,536.84,531.72
2056,538.01,540.56,535.46
2057,541.74,544.29,539.2
2058,545.47,548.01,542.94
2059,549.21,551.74,546.67
2060,552.94,555.47,550.41
2061,556.67,559.18,554.15
2062,560.39,562.9,557.89
2063,564.1,566.59,561.6
2064,567.79,570.27,565.31
2065,571.46,573.93,568.99
2066,575.12,577.58,572.66
2067,578.76,581.21,576.32
2068,582.39,584.83,579.96
2069,586.01,588.43,583.59
2070,589.61,592.02,587.2
2071,593.2,595.58,590.82
2072,596.74,599.09,594.39
2073,600.21,602.53,597.89
2074,603.61,605.9,601.33
2075,606.95,609.2,604.7
2076,610.22,612.44,608
2077,613.42,615.61,611.23
2078,616.56,618.72,614.4
2079,619.63,621.76,617.5
2080,622.64,624.74,620.54
2081,625.58,627.64,623.53
2082,628.46,630.49,626.44
2083,631.27,633.26,629.29
2084,634.01,635.96,632.06
2085,636.68,638.59,634.77
2086,639.28,641.16,637.41
2087,641.81,643.65,639.98
2088,644.28,646.08,642.48
2089,646.67,648.43,644.91
2090,648.99,650.72,647.27
2091,651.24,652.93,649.56
2092,653.43,655.07,651.78
2093,655.54,657.15,653.94
2094,657.59,659.15,656.03
2095,659.57,661.09,658.05
2096,661.47,662.95,660
2097,663.31,664.75,661.87
2098,665.08,666.48,663.68
2099,666.78,668.13,665.42
2100,668.4,669.72,667.09
2101,669.96,671.27,668.65
2102,671.49,672.78,670.19
2103,673.02,674.31,671.74
2104,674.57,675.85,673.29
2105,676.12,677.39,674.85
2106,677.67,678.93,676.41
2107,679.22,680.48,677.97
2108,680.78,682.02,679.53
2109,682.34,683.57,681.1
2110,683.89,685.12,682.67
2111,685.45,686.66,684.23
2112,687,688.21,685.79
2113,688.55,689.75,687.35
2114,690.09,691.29,688.9
2115,691.64,692.82,690.45
2116,693.18,694.35,692
2117,694.71,695.88,693.54
2118,696.24,697.4,695.08
2119,697.76,698.91,696.61
2120,699.28,700.42,698.14
2121,700.79,701.92,699.66
2122,702.29,703.41,701.17
2123,703.79,704.9,702.68
2124,705.28,706.39,704.18
2125,706.76,707.86,705.67
2126,708.24,709.32,707.15
2127,709.71,710.78,708.63
