Year,World,Northern Hemisphere,Southern Hemisphere
2015,399.95,401.68,398.22
2016,403.12,405.11,401.12
2017,405.74,407.77,403.72
2018,408.56,410.59,406.52
2019,411.34,413.39,409.29
2020,414.1,416.17,412.03
2021,416.84,418.91,414.78
2022,419.54,421.6,417.49
2023,422.18,424.22,420.14
2024,424.76,426.79,422.73
2025,427.29,429.31,425.27
2026,429.77,431.77,427.76
2027,432.2,434.19,430.21
2028,434.58,436.57,432.6
2029,436.93,438.89,434.96
2030,439.23,441.18,437.27
2031,441.48,443.4,439.56
2032,443.69,445.57,441.81
2033,445.83,447.67,443.98
2034,447.9,449.71,446.09
2035,449.92,451.69,448.14
2036,451.87,453.61,450.13
2037,453.77,455.47,452.07
2038,455.6,457.27,453.94
2039,457.38,459.01,455.76
2040,459.11,460.7,457.52
2041,460.78,462.32,459.23
2042,462.39,463.88,460.89
2043,463.93,465.38,462.48
2044,465.4,466.81,464
2045,466.81,468.17,465.46
2046,468.16,469.47,466.85
2047,469.44,470.71,468.18
2048,470.66,471.88,469.44
2049,471.82,472.99,470.65
2050,472.92,474.04,471.79
2051,473.95,475.04,472.87
2052,474.95,475.99,473.9
2053,475.92,476.92,474.91
2054,476.86,477.83,475.9
2055,477.78,478.71,476.86
2056,478.68,479.56,477.8
2057,479.54,480.38,478.7
2058,480.38,481.18,479.58
2059,481.19,481.95,480.43
2060,481.97,482.69,481.26
2061,482.72,483.4,482.05
2062,483.45,484.08,482.81
2063,484.15,484.74,483.55
2064,484.82,485.38,484.27
2065,485.47,485.99,484.96
2066,486.1,486.57,485.63
2067,486.7,487.13,486.27
2068,487.27,487.66,486.88
2069,487.82,488.17,487.47
2070,488.33,488.64,488.02
2071,488.82,489.09,488.56
2072,489.27,489.49,489.04
2073,489.65,489.83,489.46
2074,489.96,490.1,489.82
2075,490.22,490.31,490.12
2076,490.41,490.47,490.36
2077,490.55,490.56,490.54
2078,490.62,490.59,490.65
2079,490.64,490.56,490.71
2080,490.59,490.47,490.71
2081,490.49,490.33,490.65
2082,490.31,490.11,490.51
2083,490.05,489.8,490.29
2084,489.69,489.41,489.98
2085,489.26,488.93,489.58
2086,488.73,488.37,489.1
2087,488.13,487.72,488.54
2088,487.44,486.99,487.89
2089,486.67,486.18,487.16
2090,485.82,485.29,486.35
2091,484.89,484.32,485.46
2092,483.89,483.28,484.5
2093,482.82,482.18,483.46
2094,481.68,481,482.35
2095,480.46,479.75,481.18
2096,479.18,478.43,479.94
2097,477.84,477.05,478.62
2098,476.42,475.59,477.24
2099,474.93,474.07,475.79
2100,473.38,472.49,474.27
2101,471.76,470.86,472.66
2102,470.13,469.23,471.03
2103,468.53,467.63,469.43
2104,466.96,466.07,467.86
2105,465.43,464.53,466.32
2106,463.91,463.01,464.81
2107,462.42,461.52,463.32
2108,460.95,460.05,461.85
2109,459.5,458.6,460.4
2110,458.07,457.17,458.96
2111,456.65,455.75,457.54
2112,455.24,454.34,456.14
2113,453.85,452.95,454.75
2114,452.47,451.57,453.37
2115,451.11,450.21,452
2116,449.75,448.85,450.65
2117,448.4,447.51,449.3
2118,447.07,446.17,447.97
2119,445.74,444.84,446.64
2120,444.42,443.52,445.32
2121,443.11,442.21,444.01
2122,441.81,440.91,442.7
2123,440.51,439.61,441.41
2124,439.22,438.32,440.12
2125,437.94,437.04,438.83
2126,436.66,435.76,437.56
2127,435.39,434.49,436.29
