Year,World,Northern Hemisphere,Southern Hemisphere
2015,399.95,401.68,398.22
2016,403.12,405.12,401.11
2017,405.81,407.9,403.72
2018,408.83,410.97,406.69
2019,411.95,414.14,409.75
2020,415.15,417.41,412.9
2021,418.46,420.76,416.16
2022,421.84,424.19,419.49
2023,425.28,427.68,422.89
2024,428.78,431.23,426.34
2025,432.35,434.84,429.86
2026,435.97,438.51,433.44
2027,439.67,442.25,437.09
2028,443.43,446.06,440.8
2029,447.26,449.94,444.59
2030,451.16,453.88,448.45
2031,455.14,457.89,452.38
2032,459.17,461.95,456.38
2033,463.24,466.06,460.42
2034,467.36,470.22,464.51
2035,471.54,474.43,468.65
2036,475.76,478.68,472.85
2037,480.04,483,477.09
2038,484.38,487.37,481.39
2039,488.77,491.79,485.75
2040,493.22,496.27,490.17
2041,497.73,500.81,494.65
2042,502.29,505.4,499.19
2043,506.9,510.03,503.77
2044,511.56,514.71,508.4
2045,516.26,519.44,513.08
2046,521.02,524.23,517.81
2047,525.83,529.06,522.6
2048,530.69,533.95,527.43
2049,535.61,538.89,532.32
2050,540.58,543.89,537.27
2051,545.61,548.94,542.28
2052,550.69,554.04,547.34
2053,555.82,559.19,552.46
2054,561,564.39,557.62
2055,566.24,569.64,562.84
2056,571.53,574.95,568.1
2057,576.87,580.31,573.43
2058,582.27,585.73,578.81
2059,587.72,591.2,584.24
2060,593.23,596.73,589.73
2061,598.8,602.32,595.28
2062,604.42,607.96,600.89
2063,610.11,613.66,606.55
2064,615.85,619.42,612.27
2065,621.65,625.24,618.05
2066,627.5,631.12,623.89
2067,633.42,637.06,629.79
2068,639.4,643.06,635.75
2069,645.44,649.12,641.77
2070,651.54,655.24,647.85
2071,657.71,661.42,653.99
2072,663.93,667.67,660.2
2073,670.22,673.98,666.47
2074,676.57,680.35,672.8
2075,682.98,686.78,679.19
2076,689.46,693.27,685.65
2077,696,699.83,692.17
2078,702.61,706.46,698.75
2079,709.27,713.15,705.4
2080,716.01,719.9,712.12
2081,722.81,726.73,718.89
2082,729.68,733.62,725.74
2083,736.63,740.6,732.66
2084,743.66,747.65,739.66
2085,750.76,754.78,746.74
2086,757.95,762,753.9
2087,765.22,769.29,761.14
2088,772.56,776.66,768.46
2089,779.98,784.11,775.86
2090,787.49,791.64,783.34
2091,795.07,799.25,790.89
2092,802.74,806.94,798.53
2093,810.49,814.72,806.26
2094,818.33,822.58,814.07
2095,826.25,830.54,821.97
2096,834.27,838.58,829.96
2097,842.37,846.7,838.03
2098,850.55,854.92,846.19
2099,858.83,863.22,854.44
2100,867.19,871.6,862.78
2101,875.64,880.03,871.25
2102,884.11,888.47,879.75
2103,892.53,896.86,888.21
2104,900.91,905.21,896.61
2105,909.25,913.52,904.98
2106,917.54,921.78,913.3
2107,925.79,930,921.58
2108,934,938.19,929.82
2109,942.18,946.33,938.03
2110,950.31,954.43,946.19
2111,958.4,962.49,954.3
2112,966.44,970.51,962.38
2113,974.45,978.49,970.42
2114,982.42,986.42,978.41
2115,990.34,994.31,986.36
2116,998.21,1002.16,994.27
2117,1006.05,1009.97,1002.13
2118,1013.84,1017.73,1009.95
2119,1021.58,1025.44,1017.72
2120,1029.27,1033.1,1025.44
2121,1036.92,1040.72,1033.12
2122,1044.52,1048.29,1040.75
2123,1052.08,1055.82,1048.34
2124,1059.58,1063.29,1055.87
2125,1067.03,1070.71,1063.35
2126,1074.44,1078.09,1070.79
2127,1081.79,1085.41,1078.17
2128,1089.09,1092.68,1085.5
