Year,World,Northern Hemisphere,Southern Hemisphere
2015,399.95,401.68,398.22
2016,403.12,405.11,401.13
2017,405.75,407.75,403.75
2018,408.59,410.59,406.59
2019,411.42,413.43,409.41
2020,414.23,416.25,412.21
2021,417.04,419.05,415.03
2022,419.81,421.81,417.81
2023,422.5,424.48,420.51
2024,425.12,427.09,423.15
2025,427.67,429.64,425.71
2026,430.17,432.12,428.21
2027,432.6,434.54,430.66
2028,434.97,436.9,433.05
2029,437.29,439.21,435.38
2030,439.56,441.47,437.66
2031,441.78,443.64,439.92
2032,443.93,445.75,442.11
2033,445.99,447.77,444.21
2034,447.97,449.71,446.23
2035,449.87,451.56,448.17
2036,451.68,453.34,450.03
2037,453.43,455.04,451.82
2038,455.09,456.66,453.52
2039,456.68,458.21,455.16
2040,458.2,459.68,456.72
2041,459.65,461.09,458.2
2042,461.02,462.42,459.61
2043,462.31,463.68,460.95
2044,463.54,464.86,462.21
2045,464.68,465.97,463.4
2046,465.75,467,464.51
2047,466.75,467.96,465.55
2048,467.68,468.84,466.51
2049,468.53,469.66,467.4
2050,469.31,470.4,468.22
2051,470.02,471.07,468.97
2052,470.66,471.68,469.65
2053,471.25,472.23,470.27
2054,471.78,472.72,470.84
2055,472.25,473.16,471.35
2056,472.66,473.53,471.8
2057,473.02,473.85,472.19
2058,473.32,474.12,472.53
2059,473.56,474.32,472.8
2060,473.75,474.47,473.03
2061,473.88,474.57,473.19
2062,473.96,474.62,473.3
2063,474,474.62,473.38
2064,474,474.59,473.41
2065,473.96,474.51,473.4
2066,473.87,474.4,473.35
2067,473.75,474.24,473.26
2068,473.58,474.03,473.12
2069,473.36,473.79,472.94
2070,473.11,473.5,472.72
2071,472.81,473.16,472.47
2072,472.46,472.76,472.16
2073,472.04,472.3,471.78
2074,471.56,471.78,471.35
2075,471.02,471.19,470.85
2076,470.41,470.54,470.29
2077,469.75,469.83,469.66
2078,469.02,469.06,468.98
2079,468.24,468.23,468.24
2080,467.39,467.35,467.43
2081,466.48,466.41,466.56
2082,465.54,465.43,465.64
2083,464.56,464.42,464.7
2084,463.56,463.39,463.72
2085,462.53,462.33,462.72
2086,461.47,461.24,461.69
2087,460.38,460.12,460.63
2088,459.26,458.97,459.54
2089,458.1,457.79,458.42
2090,456.92,456.58,457.27
2091,455.71,455.37,456.06
2092,454.5,454.16,454.84
2093,453.32,452.98,453.66
2094,452.16,451.83,452.49
2095,451.02,450.69,451.36
2096,449.91,449.58,450.24
2097,448.81,448.49,449.14
2098,447.73,447.41,448.06
2099,446.67,446.35,446.99
2100,445.63,445.31,445.94
2101,444.59,444.28,444.91
2102,443.58,443.26,443.89
2103,442.59,442.27,442.9
2104,441.61,441.3,441.93
2105,440.66,440.35,440.98
2106,439.73,439.41,440.04
2107,438.81,438.5,439.13
2108,437.91,437.6,438.23
2109,437.03,436.72,437.35
2110,436.16,435.85,436.48
2111,435.31,435,435.63
2112,434.47,434.16,434.79
2113,433.65,433.33,433.97
2114,432.84,432.52,433.16
2115,432.04,431.73,432.36
2116,431.26,430.95,431.58
2117,430.49,430.18,430.81
2118,429.73,429.42,430.05
2119,428.99,428.67,429.3
2120,428.25,427.94,428.57
2121,427.53,427.22,427.85
2122,426.82,426.51,427.14
2123,426.12,425.8,426.44
2124,425.43,425.12,425.75
2125,424.75,424.44,425.07
2126,424.08,423.77,424.4
2127,423.42,423.11,423.74
2128,422.77,422.46,423.09
2129,422.13,421.82,422.45
2130,421.5,421.19,421.82
2131,420.88,420.57,421.2
2132,420.27,419.95,420.59
2133,419.67,419.35,419.98
2134,419.07,418.76,419.39
2135,418.49,418.17,418.8
2136,417.91,417.59,418.22
2137,417.34,417.02,417.65
2138,416.77,416.46,417.09
2139,416.22,415.91,416.54
2140,415.68,415.36,415.99
2141,415.14,414.83,415.44
2142,414.61,414.31,414.91
2143,414.11,413.81,414.4
2144,413.63,413.33,413.92
2145,413.16,412.88,413.44
2146,412.71,412.44,412.99
2147,412.29,412.02,412.56
2148,411.88,411.61,412.14
2149,411.49,411.23,411.74
2150,411.11,410.86,411.36
2151,410.75,410.5,410.99
2152,410.4,410.16,410.64
2153,410.06,409.83,410.3
2154,409.73,409.51,409.96
2155,409.41,409.19,409.63
2156,409.1,408.89,409.32
2157,408.8,408.59,409.01
2158,408.51,408.3,408.71
2159,408.22,408.03,408.42
2160,407.95,407.76,408.13
2161,407.68,407.5,407.86
2162,407.42,407.24,407.6
2163,407.17,407,407.34
2164,406.93,406.77,407.09
2165,406.7,406.54,406.86
2166,406.48,406.32,406.63
2167,406.26,406.12,406.4
2168,406.05,405.92,406.19
2169,405.86,405.72,405.99
2170,405.67,405.54,405.79
2171,405.49,405.37,405.61
2172,405.31,405.2,405.43
2173,405.15,405.04,405.26
2174,404.99,404.89,405.09
2175,404.84,404.75,404.94
2176,404.7,404.62,404.79
2177,404.57,404.49,404.65
2178,404.45,404.37,404.52
2179,404.33,404.26,404.4
2180,404.23,404.16,404.29
2181,404.13,404.07,404.18
2182,404.03,403.98,404.08
2183,403.95,403.9,403.99
2184,403.87,403.83,403.91
2185,403.8,403.77,403.83
2186,403.74,403.72,403.77
2187,403.69,403.67,403.71
2188,403.64,403.63,403.65
2189,403.6,403.6,403.61
2190,403.58,403.57,403.58
2191,403.55,403.55,403.55
2192,403.53,403.53,403.53
2193,403.51,403.51,403.5
2194,403.47,403.47,403.47
2195,403.44,403.44,403.44
2196,403.4,403.4,403.4
2197,403.36,403.36,403.36
2198,403.31,403.31,403.31
2199,403.26,403.26,403.26
2200,403.21,403.21,403.21
2201,403.16,403.16,403.16
2202,403.1,403.1,403.1
2203,403.05,403.05,403.05
2204,402.99,402.99,402.99
2205,402.93,402.93,402.93
2206,402.87,402.87,402.87
2207,402.8,402.8,402.8
2208,402.74,402.74,402.74
2209,402.68,402.68,402.68
2210,402.61,402.61,402.61
2211,402.54,402.54,402.54
2212,402.48,402.48,402.48
2213,402.41,402.41,402.41
2214,402.34,402.34,402.34
2215,402.27,402.27,402.27
2216,402.2,402.2,402.2
2217,402.13,402.13,402.13
2218,402.06,402.06,402.06
2219,401.99,401.99,401.99
2220,401.92,401.92,401.92
2221,401.85,401.85,401.85
2222,401.78,401.78,401.78
2223,401.7,401.7,401.7
2224,401.63,401.63,401.63
2225,401.56,401.56,401.56
2226,401.49,401.49,401.49
2227,401.41,401.41,401.41
2228,401.34,401.34,401.34
2229,401.27,401.27,401.27
2230,401.19,401.19,401.19
2231,401.12,401.12,401.12
2232,401.05,401.05,401.05
2233,400.97,400.97,400.97
2234,400.9,400.9,400.9
2235,400.83,400.83,400.82
2236,400.75,400.75,400.75
2237,400.68,400.68,400.68
2238,400.6,400.6,400.6
2239,400.53,400.53,400.53
2240,400.45,400.45,400.45
2241,400.38,400.38,400.38
2242,400.31,400.31,400.31
2243,400.23,400.23,400.23
2244,400.16,400.16,400.16
2245,400.08,400.08,400.08
2246,400.01,400.01,400.01
2247,399.94,399.94,399.94
2248,399.86,399.86,399.86
2249,399.79,399.79,399.79
2250,399.71,399.71,399.71
2251,399.64,399.64,399.64
2252,399.57,399.57,399.57
2253,399.49,399.49,399.49
2254,399.42,399.42,399.42
2255,399.34,399.34,399.34
2256,399.27,399.27,399.27
2257,399.19,399.19,399.19
2258,399.12,399.12,399.12
2259,399.04,399.04,399.04
2260,398.97,398.97,398.97
2261,398.89,398.89,398.89
2262,398.81,398.81,398.81
2263,398.74,398.74,398.74
2264,398.66,398.66,398.66
2265,398.58,398.58,398.58
2266,398.51,398.51,398.51
2267,398.43,398.43,398.43
2268,398.35,398.35,398.35
2269,398.27,398.28,398.27
2270,398.2,398.2,398.2
2271,398.12,398.12,398.12
2272,398.05,398.05,398.04
2273,397.97,397.97,397.97
2274,397.89,397.89,397.89
2275,397.82,397.82,397.82
2276,397.74,397.74,397.74
2277,397.66,397.66,397.66
2278,397.59,397.59,397.59
2279,397.51,397.51,397.51
2280,397.44,397.44,397.44
2281,397.36,397.36,397.36
2282,397.29,397.29,397.28
2283,397.21,397.21,397.21
2284,397.14,397.14,397.13
2285,397.06,397.06,397.06
2286,396.99,396.99,396.99
2287,396.91,396.91,396.91
2288,396.84,396.84,396.84
2289,396.76,396.76,396.76
2290,396.69,396.69,396.69
2291,396.62,396.62,396.62
2292,396.54,396.54,396.54
2293,396.47,396.47,396.47
2294,396.4,396.4,396.4
2295,396.32,396.32,396.32
2296,396.25,396.25,396.25
2297,396.18,396.18,396.18
2298,396.11,396.11,396.11
2299,396.03,396.03,396.03
2300,395.96,395.96,395.96
2301,395.89,395.89,395.89
2302,395.82,395.82,395.82
2303,395.75,395.75,395.75
2304,395.68,395.68,395.68
2305,395.6,395.6,395.6
2306,395.53,395.53,395.53
2307,395.46,395.46,395.46
2308,395.39,395.39,395.39
2309,395.32,395.32,395.32
2310,395.25,395.25,395.25
2311,395.18,395.18,395.18
2312,395.11,395.11,395.11
2313,395.04,395.04,395.04
2314,394.97,394.97,394.97
2315,394.9,394.9,394.9
2316,394.83,394.83,394.83
2317,394.76,394.76,394.76
2318,394.7,394.7,394.69
2319,394.63,394.63,394.63
2320,394.56,394.56,394.56
2321,394.49,394.49,394.49
2322,394.42,394.42,394.42
2323,394.35,394.35,394.35
2324,394.28,394.28,394.28
2325,394.22,394.22,394.22
2326,394.15,394.15,394.15
2327,394.08,394.08,394.08
2328,394.01,394.01,394.01
2329,393.95,393.95,393.94
2330,393.88,393.88,393.88
2331,393.81,393.81,393.81
2332,393.74,393.74,393.74
2333,393.68,393.68,393.68
2334,393.61,393.61,393.61
2335,393.54,393.54,393.54
2336,393.48,393.48,393.48
2337,393.41,393.41,393.41
2338,393.34,393.34,393.34
2339,393.28,393.28,393.28
2340,393.21,393.21,393.21
2341,393.14,393.15,393.14
2342,393.08,393.08,393.08
2343,393.01,393.01,393.01
2344,392.95,392.95,392.95
2345,392.88,392.88,392.88
2346,392.82,392.82,392.82
2347,392.75,392.75,392.75
2348,392.68,392.69,392.68
2349,392.62,392.62,392.62
2350,392.55,392.55,392.55
2351,392.49,392.49,392.49
2352,392.42,392.42,392.42
2353,392.36,392.36,392.36
2354,392.29,392.29,392.29
2355,392.23,392.23,392.23
2356,392.16,392.16,392.16
2357,392.1,392.1,392.1
2358,392.04,392.04,392.03
2359,391.97,391.97,391.97
2360,391.91,391.91,391.91
2361,391.84,391.84,391.84
2362,391.78,391.78,391.78
2363,391.71,391.71,391.71
2364,391.65,391.65,391.65
2365,391.58,391.58,391.58
2366,391.52,391.52,391.52
2367,391.46,391.46,391.46
2368,391.39,391.39,391.39
2369,391.33,391.33,391.33
2370,391.27,391.27,391.27
2371,391.2,391.2,391.2
2372,391.14,391.14,391.14
2373,391.08,391.08,391.08
2374,391.02,391.02,391.01
2375,390.95,390.95,390.95
2376,390.89,390.89,390.89
2377,390.83,390.83,390.83
2378,390.77,390.77,390.77
2379,390.71,390.71,390.71
2380,390.64,390.64,390.64
2381,390.58,390.58,390.58
2382,390.52,390.52,390.52
2383,390.46,390.46,390.46
2384,390.4,390.4,390.4
2385,390.34,390.34,390.34
2386,390.28,390.28,390.28
2387,390.22,390.22,390.22
2388,390.16,390.16,390.16
2389,390.1,390.1,390.1
2390,390.04,390.04,390.04
2391,389.98,389.98,389.98
2392,389.92,389.92,389.92
2393,389.86,389.86,389.86
2394,389.8,389.8,389.8
2395,389.74,389.74,389.74
2396,389.68,389.68,389.68
2397,389.63,389.63,389.62
2398,389.57,389.57,389.57
2399,389.51,389.51,389.51
2400,389.45,389.45,389.45
2401,389.39,389.39,389.39
2402,389.33,389.33,389.33
2403,389.28,389.28,389.28
2404,389.22,389.22,389.22
2405,389.16,389.16,389.16
2406,389.1,389.1,389.1
2407,389.05,389.05,389.05
2408,388.99,388.99,388.99
2409,388.93,388.93,388.93
2410,388.88,388.88,388.87
2411,388.82,388.82,388.82
2412,388.76,388.76,388.76
2413,388.7,388.71,388.7
2414,388.65,388.65,388.65
2415,388.59,388.59,388.59
2416,388.54,388.54,388.54
2417,388.48,388.48,388.48
2418,388.42,388.43,388.42
2419,388.37,388.37,388.37
2420,388.31,388.31,388.31
2421,388.26,388.26,388.26
2422,388.2,388.2,388.2
2423,388.15,388.15,388.15
2424,388.09,388.09,388.09
2425,388.04,388.04,388.04
2426,387.98,387.98,387.98
2427,387.93,387.93,387.93
2428,387.87,387.87,387.87
2429,387.82,387.82,387.82
2430,387.76,387.76,387.76
2431,387.71,387.71,387.71
2432,387.66,387.66,387.66
2433,387.6,387.6,387.6
2434,387.55,387.55,387.55
2435,387.49,387.49,387.49
2436,387.44,387.44,387.44
2437,387.39,387.39,387.39
2438,387.33,387.33,387.33
2439,387.28,387.28,387.28
2440,387.23,387.23,387.23
2441,387.17,387.17,387.17
2442,387.12,387.12,387.12
2443,387.07,387.07,387.07
2444,387.02,387.02,387.02
2445,386.96,386.96,386.96
2446,386.91,386.91,386.91
2447,386.86,386.86,386.86
2448,386.81,386.81,386.81
2449,386.75,386.75,386.75
2450,386.7,386.7,386.7
2451,386.65,386.65,386.65
2452,386.6,386.6,386.6
2453,386.55,386.55,386.55
2454,386.49,386.5,386.49
2455,386.44,386.44,386.44
2456,386.39,386.39,386.39
2457,386.34,386.34,386.34
2458,386.29,386.29,386.29
2459,386.24,386.24,386.24
2460,386.19,386.19,386.19
2461,386.14,386.14,386.14
2462,386.09,386.09,386.09
2463,386.04,386.04,386.03
2464,385.98,385.98,385.98
2465,385.93,385.93,385.93
2466,385.88,385.88,385.88
2467,385.83,385.83,385.83
2468,385.78,385.78,385.78
2469,385.73,385.73,385.73
2470,385.68,385.68,385.68
2471,385.63,385.63,385.63
2472,385.58,385.58,385.58
2473,385.53,385.53,385.53
2474,385.48,385.48,385.48
2475,385.43,385.44,385.43
2476,385.39,385.39,385.39
2477,385.34,385.34,385.34
2478,385.29,385.29,385.29
2479,385.24,385.24,385.24
2480,385.19,385.19,385.19
2481,385.14,385.14,385.14
2482,385.09,385.09,385.09
2483,385.04,385.04,385.04
2484,384.99,385,384.99
2485,384.95,384.95,384.95
2486,384.9,384.9,384.9
2487,384.85,384.85,384.85
2488,384.8,384.8,384.8
2489,384.75,384.75,384.75
2490,384.7,384.71,384.7
2491,384.66,384.66,384.66
2492,384.61,384.61,384.61
2493,384.56,384.56,384.56
2494,384.51,384.51,384.51
2495,384.47,384.47,384.47
2496,384.42,384.42,384.42
2497,384.37,384.37,384.37
2498,384.33,384.33,384.32
2499,384.28,384.28,384.28
2500,384.25,384.25,384.25
