Year,World,Northern Hemisphere,Southern Hemisphere
2015,399.95,401.68,398.22
2016,403.12,405.12,401.12
2017,405.8,407.87,403.73
2018,408.78,410.88,406.68
2019,411.84,413.99,409.69
2020,414.98,417.18,412.79
2021,418.2,420.46,415.95
2022,421.53,423.84,419.22
2023,424.97,427.34,422.59
2024,428.52,430.96,426.08
2025,432.18,434.68,429.69
2026,435.95,438.51,433.4
2027,439.83,442.45,437.22
2028,443.82,446.5,441.15
2029,447.92,450.66,445.19
2030,452.13,454.93,449.33
2031,456.45,459.33,453.57
2032,460.89,463.85,457.93
2033,465.47,468.51,462.43
2034,470.18,473.3,467.06
2035,475.02,478.22,471.82
2036,479.99,483.28,476.71
2037,485.1,488.46,481.74
2038,490.34,493.79,486.9
2039,495.72,499.24,492.2
2040,501.23,504.81,497.65
2041,506.88,510.39,503.38
2042,512.47,515.88,509.07
2043,517.82,521.13,514.51
2044,522.94,526.15,519.73
2045,527.84,530.95,524.73
2046,532.53,535.55,529.52
2047,537.02,539.94,534.11
2048,541.32,544.14,538.5
2049,545.41,548.14,542.69
2050,549.32,551.93,546.71
2051,553.03,555.46,550.61
2052,556.47,558.69,554.24
2053,559.52,561.56,557.49
2054,562.22,564.05,560.38
2055,564.55,566.19,562.91
2056,566.53,567.97,565.09
2057,568.16,569.4,566.92
2058,569.44,570.49,568.4
2059,570.38,571.23,569.54
2060,570.99,571.65,570.32
2061,571.25,571.79,570.71
2062,571.26,571.69,570.83
2063,571.07,571.38,570.75
2064,570.68,570.89,570.47
2065,570.09,570.19,569.99
2066,569.3,569.29,569.31
2067,568.31,568.19,568.43
2068,567.12,566.88,567.35
2069,565.72,565.38,566.07
2070,564.13,563.68,564.58
2071,562.34,561.84,562.83
2072,560.43,559.89,560.97
2073,558.48,557.9,559.06
2074,556.49,555.87,557.12
2075,554.46,553.8,555.12
2076,552.38,551.68,553.08
2077,550.25,549.5,550.99
2078,548.06,547.28,548.85
2079,545.82,545,546.65
2080,543.53,542.66,544.39
2081,541.18,540.29,542.06
2082,538.8,537.9,539.7
2083,536.44,535.52,537.36
2084,534.08,533.15,535.01
2085,531.72,530.77,532.67
2086,529.36,528.4,530.32
2087,527,526.02,527.98
2088,524.64,523.65,525.64
2089,522.28,521.27,523.29
2090,519.91,518.88,520.93
2091,517.53,516.5,518.56
2092,515.16,514.12,516.2
2093,512.8,511.76,513.85
2094,510.46,509.42,511.51
2095,508.14,507.08,509.19
2096,505.82,504.76,506.87
2097,503.51,502.45,504.57
2098,501.21,500.15,502.28
2099,498.93,497.85,500
2100,496.64,495.57,497.72
2101,494.37,493.29,495.45
2102,492.12,491.04,493.19
2103,489.89,488.81,490.97
2104,487.69,486.62,488.77
2105,485.52,484.45,486.6
2106,483.38,482.3,484.46
2107,481.26,480.19,482.34
2108,479.17,478.09,480.24
2109,477.1,476.02,478.17
2110,475.05,473.98,476.13
2111,473.03,471.95,474.1
2112,471.02,469.95,472.1
2113,469.04,467.97,470.12
2114,467.08,466,468.15
2115,465.14,464.06,466.21
2116,463.21,462.14,464.29
2117,461.31,460.23,462.38
2118,459.42,458.34,460.5
2119,457.55,456.47,458.63
2120,455.7,454.62,456.77
2121,453.86,452.79,454.94
2122,452.04,450.97,453.12
2123,450.24,449.16,451.31
2124,448.45,447.37,449.52
2125,446.67,445.6,447.75
2126,444.91,443.84,445.99
2127,443.17,442.09,444.24
2128,441.44,440.36,442.51
2129,439.72,438.65,440.8
2130,438.02,436.94,439.09
2131,436.33,435.26,437.41
2132,434.66,433.58,435.73
2133,433,431.92,434.07
2134,431.35,430.27,432.42
2135,429.71,428.64,430.79
2136,428.09,427.01,429.17
2137,426.48,425.4,427.56
2138,424.88,423.81,425.96
2139,423.3,422.22,424.37
2140,421.72,420.65,422.79
2141,420.16,419.12,421.2
2142,418.65,417.64,419.65
2143,417.22,416.25,418.19
2144,415.88,414.95,416.81
2145,414.62,413.72,415.52
2146,413.43,412.57,414.29
2147,412.32,411.5,413.15
2148,411.28,410.49,412.07
2149,410.31,409.56,411.06
2150,409.4,408.69,410.12
2151,408.56,407.88,409.24
2152,407.79,407.14,408.43
2153,407.07,406.46,407.68
2154,406.41,405.83,406.98
2155,405.81,405.27,406.35
2156,405.26,404.76,405.77
2157,404.78,404.31,405.24
2158,404.35,403.92,404.78
2159,403.97,403.57,404.36
2160,403.65,403.29,404
2161,403.37,403.05,403.7
2162,403.15,402.87,403.44
2163,402.99,402.74,403.24
2164,402.87,402.66,403.09
2165,402.8,402.63,402.98
2166,402.79,402.64,402.93
2167,402.82,402.71,402.93
2168,402.9,402.83,402.97
2169,403.03,402.99,403.07
2170,403.21,403.2,403.21
2171,403.43,403.43,403.43
2172,403.66,403.66,403.66
2173,403.86,403.86,403.86
2174,404.04,404.04,404.04
2175,404.19,404.19,404.19
2176,404.33,404.33,404.32
2177,404.44,404.44,404.44
2178,404.54,404.54,404.54
2179,404.63,404.63,404.62
2180,404.7,404.7,404.7
2181,404.76,404.76,404.76
2182,404.81,404.81,404.81
2183,404.85,404.85,404.85
2184,404.88,404.88,404.88
2185,404.91,404.91,404.91
2186,404.92,404.92,404.92
2187,404.93,404.93,404.93
2188,404.93,404.94,404.93
2189,404.93,404.93,404.93
2190,404.93,404.93,404.93
2191,404.92,404.92,404.92
2192,404.9,404.9,404.9
2193,404.88,404.88,404.88
2194,404.86,404.86,404.86
2195,404.84,404.84,404.84
2196,404.81,404.81,404.81
2197,404.78,404.78,404.78
2198,404.75,404.75,404.75
2199,404.71,404.71,404.71
2200,404.68,404.68,404.68
2201,404.64,404.64,404.64
2202,404.6,404.6,404.6
2203,404.55,404.56,404.55
2204,404.51,404.51,404.51
2205,404.47,404.47,404.47
2206,404.42,404.42,404.42
2207,404.37,404.37,404.37
2208,404.33,404.33,404.33
2209,404.28,404.28,404.28
2210,404.23,404.23,404.23
2211,404.17,404.18,404.17
2212,404.12,404.12,404.12
2213,404.07,404.07,404.07
2214,404.02,404.02,404.02
2215,403.96,403.96,403.96
2216,403.91,403.91,403.91
2217,403.85,403.85,403.85
2218,403.8,403.8,403.79
2219,403.74,403.74,403.74
2220,403.68,403.68,403.68
2221,403.62,403.62,403.62
2222,403.57,403.57,403.56
2223,403.51,403.51,403.51
2224,403.45,403.45,403.45
2225,403.39,403.39,403.39
2226,403.33,403.33,403.33
2227,403.27,403.27,403.27
2228,403.21,403.21,403.21
2229,403.15,403.15,403.15
2230,403.09,403.09,403.09
2231,403.02,403.03,403.02
2232,402.96,402.96,402.96
2233,402.9,402.9,402.9
2234,402.84,402.84,402.84
2235,402.77,402.78,402.77
2236,402.71,402.71,402.71
2237,402.65,402.65,402.65
2238,402.58,402.59,402.58
2239,402.52,402.52,402.52
2240,402.46,402.46,402.46
2241,402.39,402.39,402.39
2242,402.33,402.33,402.33
2243,402.26,402.26,402.26
2244,402.2,402.2,402.19
2245,402.13,402.13,402.13
2246,402.06,402.06,402.06
2247,402,402,402
2248,401.93,401.93,401.93
2249,401.86,401.86,401.86
2250,401.8,401.8,401.79
2251,401.73,401.73,401.73
2252,401.66,401.66,401.66
2253,401.6,401.6,401.6
2254,401.53,401.53,401.53
2255,401.46,401.46,401.46
2256,401.4,401.4,401.4
2257,401.33,401.33,401.33
2258,401.26,401.26,401.26
2259,401.19,401.19,401.19
2260,401.13,401.13,401.13
2261,401.06,401.06,401.06
2262,400.99,400.99,400.99
2263,400.92,400.92,400.92
2264,400.86,400.86,400.85
2265,400.79,400.79,400.79
2266,400.72,400.72,400.72
2267,400.65,400.65,400.65
2268,400.58,400.58,400.58
2269,400.52,400.52,400.52
2270,400.45,400.45,400.45
2271,400.38,400.38,400.38
2272,400.31,400.31,400.31
2273,400.24,400.25,400.24
2274,400.18,400.18,400.18
2275,400.11,400.11,400.11
2276,400.04,400.04,400.04
2277,399.98,399.98,399.97
2278,399.91,399.91,399.91
2279,399.84,399.84,399.84
2280,399.77,399.77,399.77
2281,399.71,399.71,399.71
2282,399.64,399.64,399.64
2283,399.57,399.57,399.57
2284,399.51,399.51,399.51
2285,399.44,399.44,399.44
2286,399.37,399.37,399.37
2287,399.31,399.31,399.31
2288,399.24,399.24,399.24
2289,399.17,399.18,399.17
2290,399.11,399.11,399.11
2291,399.04,399.04,399.04
2292,398.98,398.98,398.98
2293,398.91,398.91,398.91
2294,398.85,398.85,398.85
2295,398.78,398.78,398.78
2296,398.72,398.72,398.72
2297,398.65,398.65,398.65
2298,398.59,398.59,398.59
2299,398.52,398.52,398.52
2300,398.46,398.46,398.46
2301,398.39,398.39,398.39
2302,398.33,398.33,398.33
2303,398.27,398.27,398.26
2304,398.2,398.2,398.2
2305,398.14,398.14,398.14
2306,398.07,398.07,398.07
2307,398.01,398.01,398.01
2308,397.95,397.95,397.95
2309,397.88,397.88,397.88
2310,397.82,397.82,397.82
2311,397.76,397.76,397.75
2312,397.69,397.69,397.69
2313,397.63,397.63,397.63
2314,397.57,397.57,397.57
2315,397.5,397.5,397.5
2316,397.44,397.44,397.44
2317,397.38,397.38,397.38
2318,397.32,397.32,397.31
2319,397.25,397.25,397.25
2320,397.19,397.19,397.19
2321,397.13,397.13,397.13
2322,397.07,397.07,397.07
2323,397,397,397
2324,396.94,396.94,396.94
2325,396.88,396.88,396.88
2326,396.82,396.82,396.82
2327,396.76,396.76,396.76
2328,396.69,396.69,396.69
2329,396.63,396.63,396.63
2330,396.57,396.57,396.57
2331,396.51,396.51,396.51
2332,396.45,396.45,396.45
2333,396.39,396.39,396.39
2334,396.33,396.33,396.32
2335,396.26,396.26,396.26
2336,396.2,396.2,396.2
2337,396.14,396.14,396.14
2338,396.08,396.08,396.08
2339,396.02,396.02,396.02
2340,395.96,395.96,395.96
2341,395.9,395.9,395.9
2342,395.84,395.84,395.84
2343,395.77,395.77,395.77
2344,395.71,395.71,395.71
2345,395.65,395.65,395.65
2346,395.59,395.59,395.59
2347,395.53,395.53,395.53
2348,395.47,395.47,395.47
2349,395.41,395.41,395.41
2350,395.35,395.35,395.35
2351,395.29,395.29,395.28
2352,395.22,395.22,395.22
2353,395.16,395.16,395.16
2354,395.1,395.1,395.1
2355,395.04,395.04,395.04
2356,394.98,394.98,394.98
2357,394.92,394.92,394.92
2358,394.86,394.86,394.85
2359,394.8,394.8,394.79
2360,394.73,394.73,394.73
2361,394.67,394.67,394.67
2362,394.61,394.61,394.61
2363,394.55,394.55,394.55
2364,394.49,394.49,394.49
2365,394.43,394.43,394.43
2366,394.37,394.37,394.37
2367,394.32,394.32,394.31
2368,394.26,394.26,394.26
2369,394.2,394.2,394.2
2370,394.14,394.14,394.14
2371,394.08,394.08,394.08
2372,394.02,394.02,394.02
2373,393.96,393.96,393.96
2374,393.9,393.9,393.9
2375,393.85,393.85,393.84
2376,393.79,393.79,393.79
2377,393.73,393.73,393.73
2378,393.67,393.67,393.67
2379,393.61,393.61,393.61
2380,393.56,393.56,393.56
2381,393.5,393.5,393.5
2382,393.44,393.44,393.44
2383,393.39,393.39,393.38
2384,393.33,393.33,393.33
2385,393.27,393.27,393.27
2386,393.21,393.21,393.21
2387,393.16,393.16,393.16
2388,393.1,393.1,393.1
2389,393.05,393.05,393.04
2390,392.99,392.99,392.99
2391,392.93,392.93,392.93
2392,392.88,392.88,392.88
2393,392.82,392.82,392.82
2394,392.77,392.77,392.76
2395,392.71,392.71,392.71
2396,392.65,392.65,392.65
2397,392.6,392.6,392.6
2398,392.54,392.54,392.54
2399,392.49,392.49,392.49
2400,392.43,392.43,392.43
2401,392.38,392.38,392.38
2402,392.32,392.32,392.32
2403,392.27,392.27,392.27
2404,392.21,392.22,392.21
2405,392.16,392.16,392.16
2406,392.11,392.11,392.11
2407,392.05,392.05,392.05
2408,392,392,392
2409,391.94,391.94,391.94
2410,391.89,391.89,391.89
2411,391.84,391.84,391.84
2412,391.78,391.78,391.78
2413,391.73,391.73,391.73
2414,391.68,391.68,391.68
2415,391.62,391.62,391.62
2416,391.57,391.57,391.57
2417,391.52,391.52,391.52
2418,391.46,391.46,391.46
2419,391.41,391.41,391.41
2420,391.36,391.36,391.36
2421,391.3,391.31,391.3
2422,391.25,391.25,391.25
2423,391.2,391.2,391.2
2424,391.15,391.15,391.15
2425,391.1,391.1,391.09
2426,391.04,391.04,391.04
2427,390.99,390.99,390.99
2428,390.94,390.94,390.94
2429,390.89,390.89,390.89
2430,390.83,390.84,390.83
2431,390.78,390.78,390.78
2432,390.73,390.73,390.73
2433,390.68,390.68,390.68
2434,390.63,390.63,390.63
2435,390.58,390.58,390.58
2436,390.53,390.53,390.53
2437,390.48,390.48,390.48
2438,390.42,390.43,390.42
2439,390.37,390.37,390.37
2440,390.32,390.32,390.32
2441,390.27,390.27,390.27
2442,390.22,390.22,390.22
2443,390.17,390.17,390.17
2444,390.12,390.12,390.12
2445,390.07,390.07,390.07
2446,390.02,390.02,390.02
2447,389.97,389.97,389.97
2448,389.92,389.92,389.92
2449,389.87,389.87,389.87
2450,389.82,389.82,389.82
2451,389.77,389.77,389.77
2452,389.72,389.72,389.72
2453,389.67,389.67,389.67
2454,389.62,389.62,389.62
2455,389.57,389.57,389.57
2456,389.52,389.52,389.52
2457,389.47,389.47,389.47
2458,389.42,389.42,389.42
2459,389.38,389.38,389.37
2460,389.33,389.33,389.33
2461,389.28,389.28,389.28
2462,389.23,389.23,389.23
2463,389.18,389.18,389.18
2464,389.13,389.13,389.13
2465,389.08,389.08,389.08
2466,389.03,389.03,389.03
2467,388.98,388.99,388.98
2468,388.94,388.94,388.94
2469,388.89,388.89,388.89
2470,388.84,388.84,388.84
2471,388.79,388.79,388.79
2472,388.74,388.74,388.74
2473,388.7,388.7,388.7
2474,388.65,388.65,388.65
2475,388.6,388.6,388.6
2476,388.55,388.55,388.55
2477,388.51,388.51,388.5
2478,388.46,388.46,388.46
2479,388.41,388.41,388.41
2480,388.36,388.36,388.36
2481,388.32,388.32,388.32
2482,388.27,388.27,388.27
2483,388.22,388.22,388.22
2484,388.17,388.17,388.17
2485,388.13,388.13,388.13
2486,388.08,388.08,388.08
2487,388.03,388.03,388.03
2488,387.99,387.99,387.99
2489,387.94,387.94,387.94
2490,387.89,387.89,387.89
2491,387.85,387.85,387.85
2492,387.8,387.8,387.8
2493,387.75,387.75,387.75
2494,387.71,387.71,387.71
2495,387.66,387.66,387.66
2496,387.61,387.62,387.61
2497,387.57,387.57,387.57
2498,387.52,387.52,387.52
2499,387.48,387.48,387.48
2500,387.45,387.45,387.45
