Year,World,Northern Hemisphere,Southern Hemisphere
2015,399.95,401.68,398.22
2016,403.12,405.11,401.12
2017,405.76,407.78,403.75
2018,408.63,410.66,406.61
2019,411.51,413.55,409.46
2020,414.39,416.45,412.33
2021,417.29,419.37,415.21
2022,420.2,422.3,418.1
2023,423.12,425.24,421.01
2024,426.07,428.2,423.94
2025,429.03,431.18,426.88
2026,432.01,434.18,429.84
2027,435.01,437.2,432.83
2028,438.03,440.24,435.83
2029,441.08,443.3,438.86
2030,444.14,446.38,441.91
2031,447.23,449.48,444.98
2032,450.33,452.59,448.08
2033,453.43,455.7,451.17
2034,456.54,458.81,454.27
2035,459.65,461.93,457.37
2036,462.77,465.06,460.48
2037,465.9,468.19,463.6
2038,469.03,471.34,466.73
2039,472.18,474.49,469.87
2040,475.34,477.66,473.02
2041,478.5,480.83,476.18
2042,481.67,484,479.34
2043,484.84,487.17,482.5
2044,488,490.34,485.66
2045,491.15,493.5,488.8
2046,494.3,496.65,491.95
2047,497.45,499.8,495.09
2048,500.59,502.95,498.23
2049,503.73,506.1,501.37
2050,506.87,509.24,504.51
2051,510.01,512.38,507.65
2052,513.14,515.49,510.78
2053,516.23,518.58,513.88
2054,519.29,521.63,516.95
2055,522.33,524.66,519.99
2056,525.33,527.66,523
2057,528.31,530.63,525.99
2058,531.26,533.58,528.95
2059,534.19,536.49,531.88
2060,537.08,539.38,534.79
2061,539.96,542.24,537.68
2062,542.79,545.05,540.54
2063,545.59,547.82,543.36
2064,548.33,550.54,546.13
2065,551.04,553.22,548.86
2066,553.7,555.86,551.54
2067,556.32,558.46,554.18
2068,558.89,561.01,556.78
2069,561.43,563.52,559.34
2070,563.92,565.99,561.86
2071,566.38,568.41,564.35
2072,568.77,570.76,566.79
2073,571.08,573.03,569.14
2074,573.31,575.22,571.41
2075,575.47,577.33,573.6
2076,577.54,579.37,575.71
2077,579.54,581.32,577.75
2078,581.46,583.21,579.71
2079,583.3,585.01,581.6
2080,585.07,586.74,583.41
2081,586.77,588.38,585.16
2082,588.38,589.94,586.82
2083,589.89,591.39,588.38
2084,591.3,592.75,589.84
2085,592.61,594.01,591.21
2086,593.82,595.18,592.47
2087,594.94,596.24,593.65
2088,595.97,597.21,594.73
2089,596.9,598.09,595.71
2090,597.73,598.88,596.59
2091,598.48,599.58,597.37
2092,599.15,600.22,598.08
2093,599.78,600.81,598.74
2094,600.35,601.36,599.35
2095,600.89,601.85,599.92
2096,601.37,602.3,600.43
2097,601.8,602.7,600.9
2098,602.18,603.04,601.31
2099,602.51,603.34,601.67
2100,602.78,603.58,601.98
2101,603.01,603.8,602.21
2102,603.22,604.01,602.43
2103,603.46,604.24,602.68
2104,603.72,604.5,602.95
2105,604.01,604.78,603.24
2106,604.32,605.09,603.56
2107,604.65,605.41,603.89
2108,605,605.75,604.24
2109,605.36,606.11,604.61
2110,605.73,606.48,604.99
2111,606.12,606.86,605.38
2112,606.53,607.26,605.79
2113,606.94,607.67,606.21
2114,607.37,608.09,606.64
2115,607.8,608.52,607.08
2116,608.25,608.96,607.53
2117,608.7,609.41,607.99
2118,609.16,609.87,608.46
2119,609.63,610.33,608.94
2120,610.11,610.8,609.42
2121,610.59,611.28,609.91
2122,611.08,611.76,610.4
2123,611.58,612.25,610.9
2124,612.08,612.75,611.41
2125,612.58,613.25,611.92
2126,613.09,613.76,612.43
2127,613.61,614.27,612.96
